coding	meaning
Y0197	Patient attended formal exercise programme
Y019e	RCSP - genu varum
Y019f	NCSP - level shoulders
Y01a4	Deformities
Y01a8	Mid tarsal joint observation
Y01aa	1st ray position
Y01ad	Observation of gait - excess pronation
Y01b0	RS scan overview
Y01b1	Orthotic prescription
Y01b2	Post-treatment pain scale
Y01b4	Referrers expectations of assessment
Y01b5	Times when patient alone
Y01b9	Current interests / hobbies
Y01ba	Registered deaf
Y01be	Planned intervention
Y01c7	Condition causes frustration
Y01ca	Lives in house
Y01cb	Lives in a bungalow
Y01cc	Lives in a basement flat
Y01cd	Lives in a ground floor flat
Y01ce	Lives in an upper floor flat
Y01cf	Lives in a mobile home
Y01d0	Requirements of wheelchair
Y01d1	Attendant propelled wheelchair required
Y01d6	Attendant controlled outdoor powered wheelchair required
Y01d9	Right hand control required
Y01da	Left hand control required
Y01e0	Type of seating cushion required
Y01e5	Impact of disorder on employment
Y01e6	Loose tobacco consumption
Y01e7	Number of unscheduled encounters for COPD in the last 12 months
Y01e8	Last oxygen assessment done
Y01e9	H/O: gastric reflux
Y01ea	H/O: bronchiolitis
Y01eb	Asthma trigger - dust mites
Y01ec	Number of pillows
Y01ed	Acute cough
Y01ee	Timing of cough
Y01ef	Uses spacer device
Y01f0	H/O: implantable cardioverter-defibrillator in situ
Y01f1	Ethnicity risk factor
Y01f2	Advice on flu vaccination
Y01f4	Observations of pattern of weight
Y01f7	Early hallux limitus
Y01f8	ViATIM booster vaccine
Y01fa	Laboratory procedure suggested
Y01fb	Urinalysis suggested
Y01fc	Full blood count suggested
Y01fd	Random glucose level suggested
Y01fe	Fasting glucose level suggested
Y01ff	Blood pressure suggested
Y0200	Formal Exercise attendance 50%
Y0201	Formal Exercise attendance 25%
Y0202	Conclusion
Y0203	Neuropathy Test Not Done
Y0205	Neuropathy Level Worst Side: Foot
Y0206	Neuropathy Level Worst Side: Ankle
Y020a	Non-pitting oedema foot
Y020b	Non-pitting oedema ankle
Y020c	Non-pitting oedema leg
Y020d	Active range of left shoulder flexion
Y020e	Active range of right shoulder flexion
Y020f	Passive range of left shoulder flexion
Y0210	10g Monofilament: Not Done
Y0212	Foot Pulses Normal
Y0213	Foot Pulses Abnormal
Y0214	Foot Pulses Not Tested
Y0215	Eye Test: Normal
Y0216	Eye Test: Abnormal
Y0219	Chest Expansion: Abnormal
Y021a	Passive range of right shoulder flexion
Y021d	Active range of left shoulder extension
Y021e	Active range of right shoulder extension
Y0221	Percussion: Normal
Y0222	Percussion: Abnormal
Y0224	TVF/VR: Normal
Y0227	Reduced Breath Sounds
Y022d	Active range of left shoulder abduction
Y022e	Active range of right shoulder abduction
Y022f	Passive range of left shoulder abduction
Y0236	Urine Nitrite test negative
Y023a	Passive range of right shoulder abduction
Y023d	Active range of left shoulder adduction
Y023e	Active range of right shoulder adduction
Y0242	Pulse Rhythm: AF
Y0246	O/E - L.posterior tibial absent
Y0247	O/E - L.posterior tibial present
Y0249	O/E - R.posterior tibial absent
Y024d	Active range of left shoulder internal rotation
Y024e	Active range of right shoulder internal rotation
Y024f	Passive range of left shoulder internal rotation
Y0250	O/E - R.posterior tibial present
Y0252	O/E - L.popliteal pulse not done
Y0253	O/E - R.popliteal pulse not done
Y0254	O/E - L.femoral pulse not done
Y0255	O/E - R.femoral pulse not done
Y025a	Passive range of right shoulder internal rotation
Y025d	Active range of left shoulder external rotation
Y025e	Active range of right shoulder external rotation
Y025f	Passive range of left shoulder external rotation
Y026a	Passive range of right shoulder external rotation
Y0272	Cranial Nerve Test Normal
Y027d	Active range of left elbow extension
Y0280	PNS Right Knee
Y0281	PNS Other(s)
Y0282	Morning Erections
Y0283	Solitary Erections
Y0284	Endocrine Assessment
Y0285	Given: Consent Form for Caverject Injections
Y0287	Vacuum Device Loaned
Y0289	Viagra Prescribed
Y0291	Testosterone Checked
Y0293	Prolactin Checked
Y0295	Muse Prescribed
Y0297	Education : Impotence
Y0298	Education : Neuropathy
Y0299	Education : Nephropathy
Y02a3	Active range of left wrist flexion
Y02a4	Active range of right wrist flexion
Y02a5	Passive range of left wrist flexion
Y02a9	Active range of left wrist extension
Y02aa	Active range of right wrist extension
Y02ab	Passive range of left wrist extension
Y02bb	Active range of left wrist pronation
Y02bd	Passive range of left wrist pronation
Y02c1	Active range of left wrist supination
Y02c3	Passive range of left wrist supination
Y02c6	Power of right wrist supination
Y02c7	Active range of left hip flexion
Y02c8	Active range of right hip flexion
Y02c9	Passive range of left hip flexion
Y02ca	Passive range of right hip flexion
Y02cd	Active range of left hip extension
Y02ce	Active range of right hip extension
Y02cf	Passive range of left hip extension
Y02d0	Passive range of right hip extension
Y02d3	Active range of left hip abduction
Y02d4	Active range of right hip abduction
Y02d5	Passive range of left hip abduction
Y02d6	Passive range of right hip abduction
Y02da	Active range of right hip adduction
Y02db	Passive range of left hip adduction
Y02dc	Passive range of right hip adduction
Y02df	Active range of left hip internal rotation
Y02e0	Active range of right hip internal rotation
Y02e1	Passive range of left hip internal rotation
Y02e2	Passive range of right hip internal rotation
Y02e5	Active range of left hip external rotation
Y02e6	Active range of right hip external rotation
Y02e7	Passive range of left hip external rotation
Y02e8	Passive range of right hip external rotation
Y02eb	Active range of left knee flexion
Y02ec	Active range of right knee flexion
Y02ed	Passive range of left knee flexion
Y02ee	Passive range of right knee flexion
Y02f1	Active range of left knee extension
Y02f2	Active range of right knee extension
Y02f3	Passive range of left knee extension
Y02f4	Passive range of right knee extension
Y0300	Education : Retinopathy
Y0301	Education : Importance of regular check ups
Y0302	Education : What care to expect
Y0303	Education : Effects of smoking
Y0304	Education : Effects of alcohol
Y0305	Education : Exercise
Y0306	Education : Weight
Y0307	Education : Eating out
Y0308	Education : Employment issues
Y0309	Education : Holiday Climate advice
Y030f	Passive range of left ankle inversion
Y0310	Education : Holiday Travel/health insurance
Y0311	Education : Holiday Supplies
Y0312	Education : Holiday Sickness
Y0313	Education : Holiday access to health service
Y0314	Education : Role of Diabetes UK
Y0315	Education : Diabetes UK local groups
Y0316	Education : Diabetes UK enrolement
Y0317	Education : Diabetes UK local contact numbers
Y0318	Education : General effects of illness and diabetes
Y0319	Education : More frequent glucose testing
Y031a	Passive range of right ankle inversion
Y031f	Passive range of left ankle eversion
Y0320	Education : Vomiting
Y0321	Education : How to adjust medication
Y0322	Education : When to consult a doctor
Y0323	Education : DVLC and insurance notification
Y0324	Education : Implications to license
Y0325	Education : Hypoglycaemia
Y0326	Education : Foot hygene
Y0327	Education : Foot nail care
Y0328	Education : Chiropody (state registered)
Y0329	Education : Footwear and socks
Y032a	Passive range of right ankle eversion
Y032f	Uses orthotics
Y0330	Education : Foot daily checking
Y0331	Education : Where and how to get help (feet)
Y0332	Education : Importance of regular checks (eye)
Y0333	Education : Optician
Y0334	Education : Where and how to get help (eye)
Y0335	Education : Free eye checks
Y0336	Education : Preconceptual counselling
Y0337	Education : Contraception
Y0338	Education : Pregnancy advice
Y0339	Education : Signs and symptoms of hyperglycaemia
Y033a	Uses orthotic shoes
Y033b	Berg Balance score
Y033c	Family planning history
Y033e	Contact dermatitis due to dressing
Y033f	Unknown pathology under wound
Y0340	Education : Causes and prevention of hyperglycaemia
Y0341	Education : Ketoacidosis
Y0342	Education : Signs and symptoms of hypoglycaemia
Y0343	Education : Causes of hypoglyceamia
Y0344	Education : Treatment and prevention of hypoglycaemia
Y0345	Education : Carrying identification - hypoglyceamia
Y0346	Education : Awareness of family and friends - hypoglycaemia
Y0347	Education : Carrying glucose - hypoglycaemia
Y0348	Education : Glucagon/Hypostop - hypoglycaemia
Y0349	Education : Importance of good control
Y034a	Antimicrobial wound dressing
Y034c	Cancer surgery on neck
Y034d	Local recurrence of malignant tumour of uterus
Y034e	Local recurrence of malignant tumour of ovary
Y0350	Education : Appropriate method of glucose testing
Y0351	Education : Diabetes monitoring technique
Y0352	Education : Why and when to test (Diabetes)
Y0353	Education : Diabetic record keeping
Y0354	Education : What to do with diabetic results
Y0355	Education : Sharps disposal
Y0356	Education : Urine ketone test technique
Y0357	Education : Why and when to test (ketones)
Y0358	Education : Interpretation of ketone test results
Y0359	Education : Rationale for carrying ID Card
Y035a	Local recurrence of malignant tumour of vulva
Y035e	Radiotherapy to head
Y035f	Radiotherapy to neck
Y0360	Education : Availability of Talisman/Medialerts
Y0361	Education : Explaination of the diabetic condition
Y0362	Education : Diabetic Symptoms
Y0363	Education : Rationale of treatment and use of tablets/insulin (diabetes)
Y0364	Education : Diabetic backup literature
Y0365	Education : The importance of diet
Y0366	Education : Referral to dietician
Y0367	Education : Healthy Eating principles
Y0368	Education : Oral medication check: Type
Y0369	Education : Oral medication check: Length of Action
Y036a	Radiotherapy to breast
Y036d	Radiotherapy to chest wall
Y036e	Radiotherapy to pelvis
Y036f	Radiotherapy to abdomen
Y0370	Education : Oral medication check: Doseage
Y0371	Education : Oral medication check: Administration time
Y0372	Education : Oral medication check: Side effects including hypoglyaecemia
Y0373	Education : Type and action of insulin
Y0374	Education : Type of insulin injection device
Y0375	Education : Correct use of insulin equipment
Y0376	Education : Storage of insulin
Y0377	Education : Insulin injection technique
Y0378	Education : When to inject insulin
Y0379	Education : Insulin injection sites
Y037a	Radiotherapy to perineum
Y037b	Radiotherapy to bone
Y037c	Family member affected
Y037f	Time of onset following diagnosis
Y0380	Education : Rotation of insulin sities
Y0381	Education : Adjustment of insulin
Y0382	Education : Insulin prescription exemption
Y0383	Education : Ketone testing technique
Y0384	Smear Under GMS
Y0385	Smear Slide Number
Y0386	Cervical smear transformation zone cells present
Y0387	Smear Clinical Data
Y0388	Cytology Report
Y0389	Smear Reason: Routine Call
Y038a	Site of lymphoedema
Y038b	Distal swelling of arm
Y038c	Proximal swelling of arm
Y038e	Lateral swelling of arm
Y0390	Smear Reason: Routine Recall
Y0391	Smear Reason: Clinically Indicated
Y0392	Smear Reason: Previous Abnormal Smear
Y0393	Smear Specimen Type: Cervical Scrape
Y0394	Smear Specimen Type: Other
Y0395	Patient taking hormones
Y0396	Cervical smear transformation zone cells absent
Y0397	Smear Result Abnormal NOS
Y039d	Distal swelling of leg
Y039e	Proximal swelling of leg
Y039f	Medial swelling of leg
Y03a0	Lateral swelling of leg
Y03a1	Anterior swelling of leg
Y03a2	Posterior swelling of leg
Y03a4	Swelling extends beyond leg
Y03a5	Left mid upper arm circumference
Y03aa	Skin intact
Y03ba	Resisted range of thoracic spine right rotation
Y03bb	Resisted range of thoracic spine left rotation
Y03c2	Contemporaneous notes available
Y03dd	Gross motor / locomotor skills normal
Y03e0	Fine motor / manipulation skills normal
Y03e3	Vision equivocal
Y03eb	Social and interactive skills normal
Y03ee	Self help skills normal
Y03f0	Cognitive skills normal
Y03f3	Bite mark on face
Y03f4	Bite mark on neck
Y03f5	Bite mark on trunk
Y03f7	Bite mark on lower limb
Y03f8	Bite mark on upper limb
Y03fa	Bite mark on hand
Y03fc	Professional consulted
Y03fe	Ophthalmologist consulted
Y03ff	Radiologist consulted
Y0401	Lupus anticoag screen Positive
Y0402	Lupus anticoag screen Negative
Y0403	Helicobacter Pylori Positive
Y0404	Helicobacter Pylori Negative
Y040a	Paediatric neurologist consulted
Y040c	Examination position
Y040d	Examination position supine
Y0413	LKM Anitbody
Y0414	Chlamydia Positive
Y0415	Chlamydia Negative
Y0417	STS Negative
Y0418	Radiology
Y041f	Female genital bruising
Y0421	Template
Y0424	Fair
Y0425	Poor
Y0426	N/A
Y0427	Yes
Y0428	No
Y0429	Asthma Trigger Work Related
Y042b	Female genital labial fusion
Y0432	Sterile Supply Barcode
Y0434	Varicella Zoster Virus IgG
Y0435	Varicella Zoster Virus IgM
Y0436	Enhanced Care Plan Approach (CPA)
Y0439	Cervical Smear Recall - Not Wanted
Y043f	Posterior fourchette abnormal
Y0440	Direct Bilirubin
Y0442	IMP - Diftavax low dose given
Y044c	Uses tampons
Y044e	Uses contraceptive pill
Y044f	Uses IUS
Y0452	IMP - Influenza vaccination given
Y0454	Patient Insight Of Illness
Y0455	Carer Insight Of Illness
Y0459	S - Satisfactory
Y045a	Right testis absent
Y045c	Number of anal fissures present
Y045d	Anal fissure superficial
Y045e	Anal fissure extensive
Y045f	Perianal skin changes
Y0460	P - Problem
Y0464	N - Not Examined
Y0467	Anal laxity
Y046b	Patient examined under anaesthetic
Y046c	Patient examined under sedation
Y046d	Digital vaginal examination
Y046f	Perianal swab taken
Y0470	Rectal swab taken
Y0473	Attended appointment
Y0474	Cancelled appointment
Y0476	Appointment cancelled by service
Y0477	Follow up appointment
Y0481	Smear Under Other GMS
Y0488	No further action required
Y0490	Advice given by person
Y0491	Advice given to person
Y0494	Advice given by named nurse
Y0495	Advice given by nurse advisor
Y0497	Advice given to designated nurse
Y0499	Advice given to nurse advisor
Y049e	Advice given to GP
Y04a0	Advice given to mental health staff
Y04a2	Advice given to external enquiry
Y04aa	Mid thoracic pain
Y04ae	Interpreter needed - sign language
Y04bb	Length of time providing care to patient
Y04c6	Multi-disciplinary team meeting
Y04c7	Core group meeting
Y04c8	Planning meeting
Y04cd	Contact with service
Y04ce	Contact with sexual health service
Y04cf	Contact with mental health service
Y04d0	Contact with lifestyle service
Y04d1	Contact with weight management service
Y04d2	Contact with smoking cessation service
Y04d3	Contact with continence service
Y04d4	Contact with drugs service
Y04d5	Contact with alcohol service
Y04d6	Contact with physical health service
Y04d8	Review status
Y04d9	6 monthly review arranged
Y04da	6 monthly review completed
Y04db	Yearly review arranged
Y04dc	Yearly review completed
Y04dd	Referral refused
Y04e8	CVD risk assessment done (10yr value)
Y04ea	H/O: leg ulcer
Y04eb	Functional exercise assessment results
Y04ec	Powered wheelbase required
Y04f4	Admission observations
Y04f7	On Admission assessments started
Y04f8	Disclaimer form signed
Y04fb	Constipation risk
Y04fc	Bristol stool form score
Y04fd	Predisposition to constipation
Y0500	Correction Type - Spectacles
Y0503	Poor View Obtained
Y0504	Laser Scars
Y0506	Referred To Ophthalmic Clinic
Y0507	Suggest Referral To Ophthalmic Clinic
Y0508	Screened By Hospital Clinic
Y0509	Screened By GP
Y050c	Mobile but with pain
Y050d	Transfers with frame
Y050e	Transfers with rotunda
Y050f	Walks independently with stick
Y0510	Screened By Community Optometrist
Y0512	Direct Ophthalmoscopy
Y0513	Photography (Dilated)
Y0517	Walks independently with frame
Y0518	Sleeps well at night
Y051a	Falls at night
Y0521	In bed needs re-positioning
Y0522	Can understand instructions
Y0529	Imported notes
Y052b	Attending respite care
Y052c	Suprapubic catheter present
Y052e	Traumatic perianal haematoma
Y052f	Transport advice
Y0531	Equipment requirements
Y0533	Requires blood pressure measurement
Y0536	Requires pulse oximetry monitor
Y0539	Requires spirometry monitor
Y053a	Requires blood glucose monitor
Y053b	Requires warfarin (INR) monitor
Y053c	Requires ECG single lead monitor
Y053e	Requires video telephony
Y053f	Requires online questionnaire
Y0540	Requires telehealth monitoring
Y054c	Requires electronic medication reminder
Y054e	Requires electronic reminder system
Y0551	Digital rectal exam
Y0556	Swelling of left anterior chest wall
Y0557	Swelling of right anterior chest wall
Y0559	Swelling of right posterior chest wall
Y055b	Formal support network
Y055c	Informal support network
Y055e	Site of previous pain
Y0560	Avaxim Booster
Y0563	Decision made to proceed without consent
Y056a	Non-human bite - animal
Y056b	Human bite - child
Y056c	Human bite - adult
Y0570	Anal reddening
Y0571	Anal dilatation - rectal mucosa visible
Y0572	Site of continuous pain
Y0573	Warfarin prophylaxis
Y0574	Swelling of left abdomen
Y0575	Swelling of right abdomen
Y0576	Swelling of right lumbar region
Y0578	Injury of glans penis
Y057a	Tick Born Encephalitis Booster
Y057c	Typhoid third vaccination
Y057e	Havrix Junior Booster
Y0580	Inferior oblique overreaction
Y0581	Convergence weakness
Y0588	Visual acuity test
Y0589	Snellen test 1/3m
Y058a	Snellen test 6m
Y058f	Sensorineural hearing loss - mild
Y0590	Sensorineural hearing loss - moderate
Y0591	Sensorineural hearing loss - profound
Y0592	Sensorineural hearing loss - severe
Y0593	Unilateral sensorineural hearing loss - mild - right ear
Y0594	Unilateral sensorineural hearing loss - moderate - right ear
Y0595	Unilateral sensorineural hearing loss - severe - right ear
Y0596	Unilateral sensorineural hearing loss - profound - right ear
Y0597	Unilateral sensorineural hearing loss - mild - left ear
Y0598	Unilateral sensorineural hearing loss - moderate - left ear
Y0599	Unilateral sensorineural hearing loss - severe - left ear
Y059a	Unilateral sensorineural hearing loss - profound - left ear
Y059b	Conductive hearing loss - otitis media effusion
Y059c	Conductive hearing loss - structural
Y059d	Conductive hearing loss - otitis media effusion unilateral
Y059e	Conductive hearing loss - structural unilateral
Y059f	Uses bone conduction hearing aids
Y05a0	Uses air conduction hearing aid - post aural - digital
Y05a1	Uses air conduction hearing aid - in the ear
Y05a4	Referral to adult care services
Y05a5	Referral to bloodspot screening
Y05a8	Referral to home based therapy service
Y05a9	Referral to early intervention service
Y05aa	Referral to family centre
Y05ae	Difficulties with parenting
Y05b3	Language barriers
Y05bc	Referral to Child and Adolescent Mental Health Service
Y05bd	Referral to Connexions
Y05c3	Under care of drug and alcohol services
Y05c4	Under care of respite services
Y05ca	Auditory neuropathy
Y05cd	Referral to assistive technology service
Y05ce	Immediate physiotherapy
Y05d0	Td/IPV (Part One)
Y05d1	Td/IPV (Part 2)
Y05d2	Referral to psychologist declined
Y05d8	Second Polio Vaccine Live
Y05da	Polio Vaccine Live Booster
Y05e5	Under care of learning mentor
Y05e7	Environmental control needs
Y05e9	Scan settings
Y05ea	Auditory prompts required
Y05ed	Factors contributing to swelling
Y0600	Point of Care Echocardiogram
Y0663	Healthy eating advice for ethnic minorities
Y0664	HIV healthy eating advice
Y066a	Advice given by social services
Y066b	Advice given to social services
Y066f	First Hepatitis B Booster vaccination
Y0670	HIB and Meningitis C vaccination
Y0672	Booster HIB and Meningitis C vaccination
Y0673	Married/Civil Partner
Y0674	Divorced/Person whose Civil Partnership has been dissolved
Y0675	Widowed/Surviving Civil Partner
Y0692	MMR First Booster
Y0695	O/E - visual acuity both eyes = 6/4
Y069d	Tetanus Unspecified Booster
Y06a0	Hepatitis B Unspecified Booster
Y06a3	Diptheria LD Unspecified Booster
Y06a8	Diphtheria/Tetanus Unspecified Booster
Y06ac	Wheat Allergy
Y06ae	Dispensing review of use of medicines
Y06af	Medicine list reviewed for inefficient use/unwanted medicines
Y06b3	Diftavax 2nd Booster
Y06bc	DT + Polio Unspecified Booster
Y06be	DTP Unspecified Booster
Y06c0	DTP 2nd Booster
Y06c2	DTP + HIB 1st Booster
Y06c4	DTP + Polio 1st Booster
Y06d3	Revaxis 1st Booster
Y06d4	Revaxis 2nd Booster
Y06d5	Td/IPV 1st Booster
Y06d7	Tetanus + Polio Unspecified Booster
Y06d8	Tetanus + Polio 1st Booster
Y06da	Tetanus Diphtheria LD and Polio Unspecified Booster
Y06e0	Hepatitis B Second Booster
Y06e3	Staying with friends as a short term guest
Y06e5	Direct access short stay hostel
Y06e6	Short term B&B/hotel
Y06e8	Social landlord rented
Y06ea	Settled with friends/family
Y06f9	Syringe exchange
Y06fa	Employment service
Y06fb	Education service
Y06fc	Connexions
Y06ff	General hospital
Y0700	Physical - motor disability
Y0708	Longstanding illness disability
Y0709	Specific learning disability
Y070b	Referral by concerned other
Y070e	Child and Adolescent Mental Health Services (CAMHS)
Y070f	Regular employment
Y0710	Speculum Serial Number
Y0711	Economically inactive
Y0712	Treatment declined by client
Y0714	Inpatient treatment
Y0715	Specialist prescibing
Y0716	GP prescribing
Y0717	Structured psychosocial intervention
Y0719	Residential rehabilitation
Y071c	Outreach
Y071d	Advice and information
Y071e	Structured alcohol intervention
Y071f	Other structured intervention
Y072a	Clients unilateral unplanned exit
Y072b	Intervention withdrawn
Y072e	Injected in last 30 days
Y072f	Ever shared
Y0730	Previous Hep B infected
Y0731	Mothers Parity
Y0734	Not in education, training or employment
Y0735	Treatment completed drug free
Y0737	Pints of beer per day
Y0738	Glasses of wine per day
Y0739	Bottles of wine per day
Y073a	Measures of spirits per day
Y073b	First Typhoid Oral vaccination
Y073c	Booster Typhoid Oral vaccination
Y073f	Combined Hep A & B First Booster
Y0745	Engerix First Booster
Y0749	Menitorix First Booster
Y0753	Drug treatment initiated
Y0754	Number of children under 16 years
Y0755	Number of drinking days in month prior to initial assessment
Y0756	Number of units consumed on a drinking day in month prior to initial assessment
Y0757	Dual Diagnosis
Y0758	No Dual Diagnosis
Y0759	Hep C test - offered and accepted
Y075a	Hep C test - offered and refused
Y075b	Hep B Vacc - offered and refused
Y075c	Hep B Vacc- offered and accepted
Y075d	Hep B Vacc - immunised already
Y075e	Hep B Vacc - acquired immunity
Y0762	DTP + Polio Booster
Y0768	Second Hepatitis B 20 mcg/ml vaccination
Y0769	Third Hepatitis B 20 mcg/ml vaccination
Y076b	Hepatitis B 20 mcg/ml vaccination Second Booster
Y076c	Hepatitis B 20 mcg/ml Booster
Y0772	Exercise: ADNFS level 0
Y0773	Exercise: ADNFS level 1
Y0775	Exercise: ADNFS level 2
Y0776	Exercise: ADNFS level 3
Y0777	Exercise: ADNFS level 4
Y0778	Exercise: ADNFS level 5
Y0779	Transfer-degraded record Entry
Y077b	Transfer-degraded referral
Y077d	Transfer-degraded drug allergy
Y0783	Occupation Not Known
Y0784	Falls risk assessment template score
Y0785	Dermoscopy
Y0786	Warfarin Dose
Y0787	Attempted carbon monoxide validation
Y0788	Consent given to share smoking cessation data
Y0789	Prompted for smoking cessation support by GP
Y078a	Prompted for smoking cessation support by Hospital Consultant
Y078d	Prompted for smoking cessation support by Other Health Professional
Y078e	Prompted for smoking cessation support by Relative
Y078f	Prompted for smoking cessation support by Friend
Y0790	Prompted for smoking cessation support by Smoke Free Bus
Y0792	Prompted for smoking cessation support by Advert
Y0793	Prompted for smoking cessation support by Leaflet
Y0795	Prompted for smoking cessation support by Helpline
Y0796	Prompted for smoking cessation support by Other
Y0797	Prompted for smoking cessation support by Pharmacist
Y0798	Prompted for smoking cessation support by New attempt
Y079b	TOP review treatment stage: Modality start
Y079c	TOP review treatment stage: Careplan review
Y079f	28 day history of alcohol use
Y07a0	28 day history of opiates use
Y07a1	28 day history of crack use
Y07a2	28 day history of powder cocaine use
Y07a3	28 day history of amphetamine use
Y07a4	28 day history of cannabis use
Y07a5	28 day history of other problem drug use
Y07a6	28 day history of injecting non prescribed drugs
Y07a9	28 day history of selling drugs
Y07ac	Self reported psychological health status score
Y07ad	28 day history of paid work
