,ICD10_CODE,ALT_CODE,USAGE,USAGE_UK,DESCRIPTION,MODIFIER_4,MODIFIER_5,QUALIFIERS,GENDER_MASK,MIN_AGE,MAX_AGE,TREE_DESCRIPTION
71,A15.0,A150,DEFAULT,3.0,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture", , , , , , , 
72,A15.1,A151,DEFAULT,3.0,"Tuberculosis of lung, confirmed by culture only", , , , , , , 
73,A15.2,A152,DEFAULT,3.0,"Tuberculosis of lung, confirmed histologically", , , , , , , 
74,A15.3,A153,DEFAULT,3.0,"Tuberculosis of lung, confirmed by unspecified means", , , , , , , 
75,A15.4,A154,DEFAULT,3.0,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically", , , , , , , 
76,A15.5,A155,DEFAULT,3.0,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically", , , , , , , 
77,A15.6,A156,DEFAULT,3.0,"Tuberculous pleurisy, confirmed bacteriologically and histologically", , , , , , , 
78,A15.7,A157,DEFAULT,3.0,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically", , , , , , , 
79,A15.8,A158,DEFAULT,3.0,"Other respiratory tuberculosis, confirmed bacteriologically and histologically", , , , , , , 
80,A15.9,A159,DEFAULT,3.0,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically", , , , , , , 
81,A16,A16,DEFAULT,3.0,"Respiratory tuberculosis, not confirmed bacteriologically or histologically", , , , , , , 
82,A16.0,A160,DEFAULT,3.0,"Tuberculosis of lung, bacteriologically and histologically negative", , , , , , , 
83,A16.1,A161,DEFAULT,3.0,"Tuberculosis of lung, bacteriological and histological examination not done", , , , , , , 
84,A16.2,A162,DEFAULT,3.0,"Tuberculosis of lung, without mention of bacteriological or histological confirmation", , , , , , , 
85,A16.3,A163,DEFAULT,3.0,"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation", , , , , , , 
86,A16.4,A164,DEFAULT,3.0,"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation", , , , , , , 
87,A16.5,A165,DEFAULT,3.0,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation", , , , , , , 
88,A16.7,A167,DEFAULT,3.0,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation, , , , , , , 
89,A16.8,A168,DEFAULT,3.0,"Other respiratory tuberculosis, without mention of bacteriological or histological confirmation", , , , , , , 
90,A16.9,A169,DEFAULT,3.0,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation", , , , , , , 
91,A17,A17,DAGGER,4.0,Tuberculosis of nervous system, , , , , , , 
92,A17.0,A170,DAGGER,1.0,Tuberculous meningitis, , ,G01, , , , 
93,A17.1,A171,DAGGER,1.0,Meningeal tuberculoma, , ,G07, , , , 
94,A17.8,A178,DAGGER,4.0,Other tuberculosis of nervous system, , , , , , , 
95,A17.9,A179,DAGGER,1.0,"Tuberculosis of nervous system, unspecified", , ,G99.8, , , , 
96,A18,A18,DEFAULT,3.0,Tuberculosis of other organs, , , , , , , 
97,A18.0,A180,DAGGER,4.0,Tuberculosis of bones and joints, , , , , , , 
98,A18.1,A181,DEFAULT,3.0,Tuberculosis of genitourinary system, , , , , , , 
99,A18.2,A182,DEFAULT,3.0,Tuberculous peripheral lymphadenopathy, , , , , , , 
100,A18.3,A183,DEFAULT,3.0,"Tuberculosis of intestines, peritoneum and mesenteric glands", , , , , , , 
101,A18.4,A184,DEFAULT,3.0,Tuberculosis of skin and subcutaneous tissue, , , , , , , 
102,A18.5,A185,DEFAULT,3.0,Tuberculosis of eye, , , , , , , 
103,A18.6,A186,DEFAULT,3.0,Tuberculosis of ear, , , , , , , 
104,A18.7,A187,DAGGER,1.0,Tuberculosis of adrenal glands, , ,E35.1, , , , 
105,A18.8,A188,DEFAULT,3.0,Tuberculosis of other specified organs, , , , , , , 
106,A19,A19,DEFAULT,3.0,Miliary tuberculosis, , , , , , , 
107,A19.0,A190,DEFAULT,3.0,Acute miliary tuberculosis of a single specified site, , , , , , , 
108,A19.1,A191,DEFAULT,3.0,Acute miliary tuberculosis of multiple sites, , , , , , , 
109,A19.2,A192,DEFAULT,3.0,"Acute miliary tuberculosis, unspecified", , , , , , , 
110,A19.8,A198,DEFAULT,3.0,Other miliary tuberculosis, , , , , , , 
111,A19.9,A199,DEFAULT,3.0,"Miliary tuberculosis, unspecified", , , , , , , 
112,A20,A20,DEFAULT,3.0,Plague, , , , , , , 
113,A20.0,A200,DEFAULT,3.0,Bubonic plague, , , , , , , 
114,A20.1,A201,DEFAULT,3.0,Cellulocutaneous plague, , , , , , , 
115,A20.2,A202,DEFAULT,3.0,Pneumonic plague, , , , , , , 
116,A20.3,A203,DEFAULT,3.0,Plague meningitis, , , , , , , 
117,A20.7,A207,DEFAULT,3.0,Septicaemic plague, , , , , , , 
118,A20.8,A208,DEFAULT,3.0,Other forms of plague, , , , , , , 
119,A20.9,A209,DEFAULT,3.0,"Plague, unspecified", , , , , , , 
120,A21,A21,DEFAULT,3.0,Tularaemia, , , , , , , 
121,A21.0,A210,DEFAULT,3.0,Ulceroglandular tularaemia, , , , , , , 
122,A21.1,A211,DEFAULT,3.0,Oculoglandular tularaemia, , , , , , , 
123,A21.2,A212,DEFAULT,3.0,Pulmonary tularaemia, , , , , , , 
124,A21.3,A213,DEFAULT,3.0,Gastrointestinal tularaemia, , , , , , , 
125,A21.7,A217,DEFAULT,3.0,Generalized tularaemia, , , , , , , 
126,A21.8,A218,DEFAULT,3.0,Other forms of tularaemia, , , , , , , 
127,A21.9,A219,DEFAULT,3.0,"Tularaemia, unspecified", , , , , , , 
128,A22,A22,DEFAULT,3.0,Anthrax, , , , , , , 
129,A22.0,A220,DEFAULT,3.0,Cutaneous anthrax, , , , , , , 
130,A22.1,A221,DEFAULT,3.0,Pulmonary anthrax, , , , , , , 
131,A22.2,A222,DEFAULT,3.0,Gastrointestinal anthrax, , , , , , , 
132,A22.7,A227,DEFAULT,3.0,Anthrax sepsis, , , , , , , 
133,A22.8,A228,DEFAULT,3.0,Other forms of anthrax, , , , , , , 
134,A22.9,A229,DEFAULT,3.0,"Anthrax, unspecified", , , , , , , 
135,A23,A23,DEFAULT,3.0,Brucellosis, , , , , , , 
136,A23.0,A230,DEFAULT,3.0,Brucellosis due to Brucella melitensis, , , , , , , 
137,A23.1,A231,DEFAULT,3.0,Brucellosis due to Brucella abortus, , , , , , , 
138,A23.2,A232,DEFAULT,3.0,Brucellosis due to Brucella suis, , , , , , , 
139,A23.3,A233,DEFAULT,3.0,Brucellosis due to Brucella canis, , , , , , , 
140,A23.8,A238,DEFAULT,3.0,Other brucellosis, , , , , , , 
141,A23.9,A239,DEFAULT,3.0,"Brucellosis, unspecified", , , , , , , 
142,A24,A24,DEFAULT,3.0,Glanders and melioidosis, , , , , , , 
143,A24.0,A240,DEFAULT,3.0,Glanders, , , , , , , 
144,A24.1,A241,DEFAULT,3.0,Acute and fulminating melioidosis, , , , , , , 
145,A24.2,A242,DEFAULT,3.0,Subacute and chronic melioidosis, , , , , , , 
146,A24.3,A243,DEFAULT,3.0,Other melioidosis, , , , , , , 
147,A24.4,A244,DEFAULT,3.0,"Melioidosis, unspecified", , , , , , , 
148,A25,A25,DEFAULT,3.0,Rat-bite fevers, , , , , , , 
149,A25.0,A250,DEFAULT,3.0,Spirillosis, , , , , , , 
150,A25.1,A251,DEFAULT,3.0,Streptobacillosis, , , , , , , 
151,A25.9,A259,DEFAULT,3.0,"Rat-bite fever, unspecified", , , , , , , 
152,A26,A26,DEFAULT,3.0,Erysipeloid, , , , , , , 
153,A26.0,A260,DEFAULT,3.0,Cutaneous erysipeloid, , , , , , , 
154,A26.7,A267,DEFAULT,3.0,Erysipelothrix sepsis, , , , , , , 
155,A26.8,A268,DEFAULT,3.0,Other forms of erysipeloid, , , , , , , 
156,A26.9,A269,DEFAULT,3.0,"Erysipeloid, unspecified", , , , , , , 
157,A27,A27,DEFAULT,3.0,Leptospirosis, , , , , , , 
158,A27.0,A270,DEFAULT,3.0,Leptospirosis icterohaemorrhagica, , , , , , , 
159,A27.8,A278,DEFAULT,3.0,Other forms of leptospirosis, , , , , , , 
160,A27.9,A279,DEFAULT,3.0,"Leptospirosis, unspecified", , , , , , , 
161,A28,A28,DEFAULT,3.0,"Other zoonotic bacterial diseases, not elsewhere classified", , , , , , , 
162,A28.0,A280,DEFAULT,3.0,Pasteurellosis, , , , , , , 
163,A28.1,A281,DEFAULT,3.0,Cat-scratch disease, , , , , , , 
164,A28.2,A282,DEFAULT,3.0,Extraintestinal yersiniosis, , , , , , , 
165,A28.8,A288,DEFAULT,3.0,"Other specified zoonotic bacterial diseases, not elsewhere classified", , , , , , , 
166,A28.9,A289,DEFAULT,3.0,"Zoonotic bacterial disease, unspecified", , , , , , , 
167,A30,A30,DEFAULT,3.0,Leprosy [Hansen disease], , , , , , , 
168,A30.0,A300,DEFAULT,3.0,Indeterminate leprosy, , , , , , , 
169,A30.1,A301,DEFAULT,3.0,Tuberculoid leprosy, , , , , , , 
170,A30.2,A302,DEFAULT,3.0,Borderline tuberculoid leprosy, , , , , , , 
171,A30.3,A303,DEFAULT,3.0,Borderline leprosy, , , , , , , 
172,A30.4,A304,DEFAULT,3.0,Borderline lepromatous leprosy, , , , , , , 
173,A30.5,A305,DEFAULT,3.0,Lepromatous leprosy, , , , , , , 
174,A30.8,A308,DEFAULT,3.0,Other forms of leprosy, , , , , , , 
175,A30.9,A309,DEFAULT,3.0,"Leprosy, unspecified", , , , , , , 
176,A31,A31,DEFAULT,3.0,Infection due to other mycobacteria, , , , , , , 
177,A31.0,A310,DEFAULT,3.0,Pulmonary mycobacterial infection, , , , , , , 
178,A31.1,A311,DEFAULT,3.0,Cutaneous mycobacterial infection, , , , , , , 
179,A31.8,A318,DEFAULT,3.0,Other mycobacterial infections, , , , , , , 
180,A31.9,A319,DEFAULT,3.0,"Mycobacterial infection, unspecified", , , , , , , 
181,A32,A32,DEFAULT,3.0,Listeriosis, , , , , , , 
182,A32.0,A320,DEFAULT,3.0,Cutaneous listeriosis, , , , , , , 
183,A32.1,A321,DAGGER,4.0,Listerial meningitis and meningoencephalitis, , , , , , , 
184,A32.7,A327,DEFAULT,3.0,Listerial sepsis, , , , , , , 
185,A32.8,A328,DEFAULT,3.0,Other forms of listeriosis, , , , , , , 
186,A32.9,A329,DEFAULT,3.0,"Listeriosis, unspecified", , , , , , , 
187,A33,A33X,DEFAULT,3.0,Tetanus neonatorum, , , , , ,1, 
188,A34,A34X,DEFAULT,3.0,Obstetrical tetanus, , , ,1,15,45, 
189,A35,A35X,DEFAULT,3.0,Other tetanus, , , , , , , 
190,A36,A36,DEFAULT,3.0,Diphtheria, , , , , , , 
191,A36.0,A360,DEFAULT,3.0,Pharyngeal diphtheria, , , , , , , 
192,A36.1,A361,DEFAULT,3.0,Nasopharyngeal diphtheria, , , , , , , 
193,A36.2,A362,DEFAULT,3.0,Laryngeal diphtheria, , , , , , , 
194,A36.3,A363,DEFAULT,3.0,Cutaneous diphtheria, , , , , , , 
195,A36.8,A368,DEFAULT,3.0,Other diphtheria, , , , , , , 
196,A36.9,A369,DEFAULT,3.0,"Diphtheria, unspecified", , , , , , , 
197,A37,A37,DEFAULT,3.0,Whooping cough, , , , , , , 
198,A37.0,A370,DEFAULT,3.0,Whooping cough due to Bordetella pertussis, , , , , , , 
199,A37.1,A371,DEFAULT,3.0,Whooping cough due to Bordetella parapertussis, , , , , , , 
200,A37.8,A378,DEFAULT,3.0,Whooping cough due to other Bordetella species, , , , , , , 
201,A37.9,A379,DEFAULT,3.0,"Whooping cough, unspecified", , , , , , , 
202,A38,A38X,DEFAULT,3.0,Scarlet fever, , , , , , , 
203,A39,A39,DEFAULT,3.0,Meningococcal infection, , , , , , , 
204,A39.0,A390,DAGGER,1.0,Meningococcal meningitis, , ,G01, , , , 
205,A39.1,A391,DAGGER,1.0,Waterhouse-Friderichsen syndrome, , ,E35.1, , , , 
206,A39.2,A392,DEFAULT,3.0,Acute meningococcaemia, , , , , , , 
207,A39.3,A393,DEFAULT,3.0,Chronic meningococcaemia, , , , , , , 
208,A39.4,A394,DEFAULT,3.0,"Meningococcaemia, unspecified", , , , , , , 
209,A39.5,A395,DAGGER,4.0,Meningococcal heart disease, , , , , , , 
210,A39.8,A398,DEFAULT,3.0,Other meningococcal infections, , , , , , , 
211,A39.9,A399,DEFAULT,3.0,"Meningococcal infection, unspecified", , , , , , , 
212,A40,A40,DEFAULT,3.0,Streptococcal sepsis, , , , , , , 
213,A40.0,A400,DEFAULT,3.0,"Sepsis due to streptococcus, group A", , , , , , , 
214,A40.1,A401,DEFAULT,3.0,"Sepsis due to streptococcus, group B", , , , , , , 
215,A40.2,A402,DEFAULT,3.0,"Sepsis due to streptococcus, group D", , , , , , , 
216,A40.3,A403,DEFAULT,3.0,Sepsis due to Streptococcus pneumoniae, , , , , , , 
217,A40.8,A408,DEFAULT,3.0,Other streptococcal sepsis, , , , , , , 
218,A40.9,A409,DEFAULT,3.0,"Streptococcal sepsis, unspecified", , , , , , , 
219,A41,A41,DEFAULT,3.0,Other sepsis, , , , , , , 
220,A41.0,A410,DEFAULT,3.0,Sepsis due to Staphylococcus aureus, , , , , , , 
221,A41.1,A411,DEFAULT,3.0,Sepsis due to other specified staphylococcus, , , , , , , 
222,A41.2,A412,DEFAULT,3.0,Sepsis due to unspecified staphylococcus, , , , , , , 
223,A41.3,A413,DEFAULT,3.0,Sepsis due to Haemophilus influenzae, , , , , , , 
224,A41.4,A414,DEFAULT,3.0,Sepsis due to anaerobes, , , , , , , 
225,A41.5,A415,DEFAULT,3.0,Sepsis due to other Gram-negative organisms, , , , , , , 
226,A41.8,A418,DEFAULT,3.0,Other specified sepsis, , , , , , , 
227,A41.9,A419,DEFAULT,3.0,"Sepsis, unspecified", , , , , , , 
228,A42,A42,DEFAULT,3.0,Actinomycosis, , , , , , , 
229,A42.0,A420,DEFAULT,3.0,Pulmonary actinomycosis, , , , , , , 
230,A42.1,A421,DEFAULT,3.0,Abdominal actinomycosis, , , , , , , 
231,A42.2,A422,DEFAULT,3.0,Cervicofacial actinomycosis, , , , , , , 
232,A42.7,A427,DEFAULT,3.0,Actinomycotic sepsis, , , , , , , 
233,A42.8,A428,DEFAULT,3.0,Other forms of actinomycosis, , , , , , , 
234,A42.9,A429,DEFAULT,3.0,"Actinomycosis, unspecified", , , , , , , 
235,A43,A43,DEFAULT,3.0,Nocardiosis, , , , , , , 
236,A43.0,A430,DEFAULT,3.0,Pulmonary nocardiosis, , , , , , , 
237,A43.1,A431,DEFAULT,3.0,Cutaneous nocardiosis, , , , , , , 
238,A43.8,A438,DEFAULT,3.0,Other forms of nocardiosis, , , , , , , 
239,A43.9,A439,DEFAULT,3.0,"Nocardiosis, unspecified", , , , , , , 
240,A44,A44,DEFAULT,3.0,Bartonellosis, , , , , , , 
241,A44.0,A440,DEFAULT,3.0,Systemic bartonellosis, , , , , , , 
242,A44.1,A441,DEFAULT,3.0,Cutaneous and mucocutaneous bartonellosis, , , , , , , 
243,A44.8,A448,DEFAULT,3.0,Other forms of bartonellosis, , , , , , , 
244,A44.9,A449,DEFAULT,3.0,"Bartonellosis, unspecified", , , , , , , 
245,A46,A46X,DEFAULT,3.0,Erysipelas, , , , , , , 
246,A48,A48,DEFAULT,3.0,"Other bacterial diseases, not elsewhere classified", , , , , , , 
247,A48.0,A480,DEFAULT,3.0,Gas gangrene, , , , , , , 
248,A48.1,A481,DEFAULT,3.0,Legionnaires disease, , , , , , , 
249,A48.2,A482,DEFAULT,3.0,Nonpneumonic Legionnaires disease [Pontiac fever], , , , , , , 
250,A48.3,A483,DEFAULT,3.0,Toxic shock syndrome, , , , , , , 
251,A48.4,A484,DEFAULT,3.0,Brazilian purpuric fever, , , , , , , 
252,A48.8,A488,DEFAULT,3.0,Other specified bacterial diseases, , , , , , , 
253,A49,A49,DEFAULT,3.0,Bacterial infection of unspecified site, , , , , , , 
254,A49.0,A490,DEFAULT,3.0,"Staphylococcal infection, unspecified site", , , , , , , 
255,A49.1,A491,DEFAULT,3.0,"Streptococcal and enterococcal infection, unspecified site", , , , , , , 
256,A49.2,A492,DEFAULT,3.0,"Haemophilus influenzae infection, unspecified site", , , , , , , 
257,A49.3,A493,DEFAULT,3.0,"Mycoplasma infection, unspecified site", , , , , , , 
258,A49.8,A498,DEFAULT,3.0,Other bacterial infections of unspecified site, , , , , , , 
259,A49.9,A499,DEFAULT,3.0,"Bacterial infection, unspecified", , , , , , , 
260,A50,A50,DEFAULT,3.0,Congenital syphilis, , , , , , , 
261,A50.0,A500,DEFAULT,3.0,"Early congenital syphilis, symptomatic", , , , , , , 
262,A50.1,A501,DEFAULT,3.0,"Early congenital syphilis, latent", , , , , ,2, 
263,A50.2,A502,DEFAULT,3.0,"Early congenital syphilis, unspecified", , , , , ,2, 
264,A50.3,A503,DEFAULT,3.0,Late congenital syphilitic oculopathy, , , , ,2, , 
265,A50.4,A504,DEFAULT,3.0,Late congenital neurosyphilis [juvenile neurosyphilis], , , , ,2, , 
266,A50.5,A505,DEFAULT,3.0,"Other late congenital syphilis, symptomatic", , , , ,2, , 
267,A50.6,A506,DEFAULT,3.0,"Late congenital syphilis, latent", , , , ,2, , 
268,A50.7,A507,DEFAULT,3.0,"Late congenital syphilis, unspecified", , , , ,2, , 
269,A50.9,A509,DEFAULT,3.0,"Congenital syphilis, unspecified", , , , , , , 
270,A51,A51,DEFAULT,3.0,Early syphilis, , , , , , , 
271,A51.0,A510,DEFAULT,3.0,Primary genital syphilis, , , , , , , 
272,A51.1,A511,DEFAULT,3.0,Primary anal syphilis, , , , , , , 
273,A51.2,A512,DEFAULT,3.0,Primary syphilis of other sites, , , , , , , 
274,A51.3,A513,DEFAULT,3.0,Secondary syphilis of skin and mucous membranes, , , , , , , 
275,A51.4,A514,DEFAULT,3.0,Other secondary syphilis, , , , , , , 
276,A51.5,A515,DEFAULT,3.0,"Early syphilis, latent", , , , , , , 
277,A51.9,A519,DEFAULT,3.0,"Early syphilis, unspecified", , , , , , , 
278,A52,A52,DEFAULT,3.0,Late syphilis, , , , , , , 
279,A52.0,A520,DAGGER,4.0,Cardiovascular syphilis, , , , , , , 
280,A52.1,A521,DEFAULT,3.0,Symptomatic neurosyphilis, , , , , , , 
281,A52.2,A522,DEFAULT,3.0,Asymptomatic neurosyphilis, , , , , , , 
282,A52.3,A523,DEFAULT,3.0,"Neurosyphilis, unspecified", , , , , , , 
283,A52.7,A527,DEFAULT,3.0,Other symptomatic late syphilis, , , , , , , 
284,A52.8,A528,DEFAULT,3.0,"Late syphilis, latent", , , , ,2, , 
285,A52.9,A529,DEFAULT,3.0,"Late syphilis, unspecified", , , , , , , 
286,A53,A53,DEFAULT,3.0,Other and unspecified syphilis, , , , , , , 
287,A53.0,A530,DEFAULT,3.0,"Latent syphilis, unspecified as early or late", , , , , , , 
288,A53.9,A539,DEFAULT,3.0,"Syphilis, unspecified", , , , , , , 
289,A54,A54,DEFAULT,3.0,Gonococcal infection, , , , , , , 
290,A54.0,A540,DEFAULT,3.0,Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess, , , , , , , 
291,A54.1,A541,DEFAULT,3.0,Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess, , , , , , , 
292,A54.2,A542,DEFAULT,3.0,Gonococcal pelviperitonitis and other gonococcal genitourinary infections, , , , , , , 
293,A54.3,A543,DEFAULT,3.0,Gonococcal infection of eye, , , , , , , 
294,A54.4,A544,DAGGER,4.0,Gonococcal infection of musculoskeletal system, , , , , , , 
295,A54.5,A545,DEFAULT,3.0,Gonococcal pharyngitis, , , , , , , 
296,A54.6,A546,DEFAULT,3.0,Gonococcal infection of anus and rectum, , , , , , , 
297,A54.8,A548,DEFAULT,3.0,Other gonococcal infections, , , , , , , 
298,A54.9,A549,DEFAULT,3.0,"Gonococcal infection, unspecified", , , , , , , 
299,A55,A55X,DEFAULT,3.0,Chlamydial lymphogranuloma (venereum), , , , , , , 
300,A56,A56,DEFAULT,3.0,Other sexually transmitted chlamydial diseases, , , , , , , 
301,A56.0,A560,DEFAULT,3.0,Chlamydial infection of lower genitourinary tract, , , , , , , 
302,A56.1,A561,DEFAULT,3.0,Chlamydial infection of pelviperitoneum and other genitourinary organs, , , , , , , 
303,A56.2,A562,DEFAULT,3.0,"Chlamydial infection of genitourinary tract, unspecified", , , , , , , 
304,A56.3,A563,DEFAULT,3.0,Chlamydial infection of anus and rectum, , , , , , , 
305,A56.4,A564,DEFAULT,3.0,Chlamydial infection of pharynx, , , , , , , 
306,A56.8,A568,DEFAULT,3.0,Sexually transmitted chlamydial infection of other sites, , , , , , , 
307,A57,A57X,DEFAULT,3.0,Chancroid, , , , , , , 
308,A58,A58X,DEFAULT,3.0,Granuloma inguinale, , , , , , , 
309,A59,A59,DEFAULT,3.0,Trichomoniasis, , , , , , , 
310,A59.0,A590,DEFAULT,3.0,Urogenital trichomoniasis, , , , , , , 
311,A59.8,A598,DEFAULT,3.0,Trichomoniasis of other sites, , , , , , , 
312,A59.9,A599,DEFAULT,3.0,"Trichomoniasis, unspecified", , , , , , , 
313,A60,A60,DEFAULT,3.0,Anogenital herpesviral [herpes simplex] infection, , , , , , , 
314,A60.0,A600,DEFAULT,3.0,Herpesviral infection of genitalia and urogenital tract, , , , , , , 
